Date,Decile 1,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,High 10,
10/1/1930, 83 , 44 , 57 , 44 , 90 , 128 , 291 , 129 , 174 , 155 
11/1/1930," 227,234 "," 345,433 ", 806 ," 2,837 "," 1,078 "," 1,599 ", 922 , 774 ," 10,975 "," 15,897 "
12/1/1930, 12 , 23 , 26 , 38 , 33 , 73 , 49 , 118 , 229 , 265 
1/1/1931, 16 , 20 , 40 , 55 , 66 , 86 , 97 , 251 , 423 , 82 
2/1/1931, 20 , 18 , 39 , 36 , 35 , 51 , 65 , 108 , 188 , 214 
3/1/1931, 71 , 71 , 135 ," 1,680 ", 161 , 193 , 104 , 403 , 964 ," 2,654 "
4/1/1931, 14 , 22 , 21 , 26 , 34 , 35 , 41 , 88 , 79 , 124 
5/1/1931, 27 , 21 , 35 , 39 , 34 , 36 , 56 , 66 , 91 , 141 
6/1/1931, 17 , 14 , 27 , 26 , 23 , 35 , 56 , 85 , 96 , 147 
7/1/1931, 64 , 80 , 87 , 82 , 113 , 410 , 363 ," 3,893 ", 704 ," 1,205 "
8/1/1931," 9,166 ", 603 ," 56,451 ", 525 , 748 ," 7,607 "," 3,993 ", 836 ," 11,107,778 "," 22,128 "
9/1/1931, 6 , 4 , 5 , 8 , 6 , 9 , 7 , 8 , 12 , 11 
10/1/1931, 221 , 83 , 69 , 66 , 258 , 268 , 61 , 290 , 53 , 63 
11/1/1931, 47 , 52 , 64 , 66 , 128 , 181 , 207 , 114 , 276 , 770 
12/1/1931, 10 , 12 , 13 , 19 , 21 , 21 , 34 , 58 , 36 , 151 
1/1/1932, 13 , 115 , 150 , 193 , 63 , 172 ," 3,561 "," 3,825 "," 1,451 "," 1,020 "
2/1/1932," 2,002 "," 4,960 "," 2,150 "," 1,042 "," 3,825 ", 567 , 859 , 492 , 427 ," 1,330 "
3/1/1932, 19 , 32 , 42 , 58 , 81 , 43 , 71 , 108 , 150 , 274 
4/1/1932, 15 , 17 , 25 , 22 , 19 , 24 , 24 , 33 , 37 , 70 
